mf_name,curr_price,growth(%),1 year(%),3 year(%),5 year(%),launch_date,exit_load(%),min_investment,Last dividend payout,document_link,link
Aditya Birla Sun Life Overnight Fund - Direct Plan - IDCW-Monthly,1000.81,0.01,0.01,0.0,0.0,2018-10-30 00:00:00,,5000.0,0.25%,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516014.00218200/aditya-birla-life-overnight-fund-direct-plan
Aditya Birla Sun Life Pure Value Fund - Direct Plan - Growth,72.61,0.29,79.19,5.64,12.3,2013-01-01 00:00:00,1.0,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057748.00206600/aditya-birla-life-pure-value-fund-direct-plan
Aditya Birla Sun Life Pure Value Fund - Direct Plan - IDCW,50.72,0.29,79.19,5.55,7.35,2013-01-01 00:00:00,1.0,1000.0,63.00%,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057748.00206700/aditya-birla-life-pure-value-fund-direct-plan
Aditya Birla Sun Life Regular Savings Fund - Direct Plan - Growth,50.84,0.02,27.58,8.27,9.72,2013-01-01 00:00:00,1.0,500.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057744.00206600/aditya-birla-life-regular-savings-fund-direct-plan
Aditya Birla Sun Life Regular Savings Fund - Direct Plan - IDCW-Monthly,23.58,0.02,21.65,3.38,6.59,2013-01-01 00:00:00,1.0,500.0,0.89%,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057744.00218200/aditya-birla-life-regular-savings-fund-direct-plan
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan - Growth,13.2,-0.09,41.33,0.0,0.0,2019-02-19 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516424.00206600/aditya-birla-life-retirement-fund-plan-direct-plan
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Direct Plan - IDCW,13.19,-0.09,41.34,0.0,0.0,2019-02-19 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516424.00206700/aditya-birla-life-retirement-fund-plan-direct-plan
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Direct Plan - Growth,13.03,-0.08,33.51,0.0,0.0,2019-02-19 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516426.00206600/aditya-birla-life-retirement-fund-plan-direct-plan
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Direct Plan - IDCW,13.03,-0.07,33.52,0.0,0.0,2019-02-19 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516426.00206700/aditya-birla-life-retirement-fund-plan-direct-plan
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan - Growth,11.71,-0.04,4.83,0.0,0.0,2019-02-19 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516428.00206600/aditya-birla-life-retirement-fund-plan-direct-plan
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan - IDCW,11.71,-0.04,4.83,0.0,0.0,2019-02-19 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516428.00206700/aditya-birla-life-retirement-fund-plan-direct-plan
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct P - Growth,11.48,-0.04,4.53,0.0,0.0,2019-02-19 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516430.00206600/aditya-birla-life-retirement-fund-plus-debt-plan-direct
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct P - IDCW,11.48,-0.04,4.53,0.0,0.0,2019-02-19 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/140516430.00206700/aditya-birla-life-retirement-fund-plus-debt-plan-direct
Aditya Birla Sun Life Savings Fund - Direct Plan - Growth,430.34,0.02,5.61,7.49,7.58,2013-01-01 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057749.00206600/aditya-birla-life-savings-fund-direct-plan
Aditya Birla Sun Life Short Term Fund - Direct Plan - Growth,38.99,0.04,10.03,9.47,8.75,2013-01-01 00:00:00,,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057751.00206600/aditya-birla-life-short-term-fund-direct-plan
Aditya Birla Sun Life Short Term Fund - Direct Plan - IDCW-Quarterly,11.08,0.04,4.34,2.22,0.65,2013-01-01 00:00:00,,1000.0,1.35%,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057751.00218100/aditya-birla-life-short-term-fund-direct-plan
Aditya Birla Sun Life Small Cap Fund - Direct Plan - Growth,52.69,0.48,108.55,8.16,13.85,2013-01-01 00:00:00,1.0,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057752.00206600/aditya-birla-life-small-fund-direct-plan
Aditya Birla Sun Life Small Cap Fund - Direct Plan - IDCW,51.04,0.48,108.53,8.16,13.84,2013-01-01 00:00:00,1.0,1000.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057752.00206700/aditya-birla-life-small-fund-direct-plan
Aditya Birla Sun Life Tax Relief 96 - Direct Plan - Growth,43.04,-0.12,41.58,9.45,13.62,2013-01-01 00:00:00,,500.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057755.00206600/aditya-birla-life-relief-direct-plan
Aditya Birla Sun Life Tax Relief 96 - Direct Plan - IDCW,296.84,-0.11,41.55,9.44,13.61,2013-01-01 00:00:00,,500.0,,https://mutualfund.adityabirlacapital.com/,https://coin.zerodha.com/funds/14057755.00206700/aditya-birla-life-relief-direct-plan
BNP Paribas Arbitrage Fund - Direct Plan - Adhoc IDCW,10.86,-0.01,2.16,1.44,0.0,2016-12-08 00:00:00,0.25,5000.0,0.50%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140514177.00419000/paribas-arbitrage-fund-direct-plan
BNP Paribas Arbitrage Fund - Direct Plan - Growth,13.11,-0.01,4.1,5.89,0.0,2016-12-08 00:00:00,0.25,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140514177.00206600/paribas-arbitrage-fund-direct-plan
BNP Paribas Arbitrage Fund - Direct Plan - IDCW-Monthly,10.46,-0.01,2.1,1.28,0.0,2017-05-02 00:00:00,0.25,5000.0,0.50%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140514177.00218200/paribas-arbitrage-fund-direct-plan
BNP Paribas Arbitrage Fund - Direct Plan - IDCW-Quarterly,10.59,-0.01,2.6,1.32,0.0,2017-05-02 00:00:00,0.25,5000.0,1.50%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140514177.00218100/paribas-arbitrage-fund-direct-plan
BNP Paribas Conservative Hybrid Fund - Direct Plan - Growth,38.51,-0.02,14.28,9.53,9.82,2013-01-01 00:00:00,1.0,1000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057766.00206600/paribas-conservative-hybrid-fund-direct-plan
BNP Paribas Conservative Hybrid Fund - Direct Plan - IDCW-Monthly,12.43,-0.02,8.47,4.12,2.31,2013-01-01 00:00:00,1.0,1000.0,0.60%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057766.00218200/paribas-conservative-hybrid-fund-direct-plan
BNP Paribas Conservative Hybrid Fund - Direct Plan - IDCW-Quarterly,12.18,-0.02,8.42,4.03,3.01,2013-01-01 00:00:00,1.0,1000.0,2.00%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057766.00218100/paribas-conservative-hybrid-fund-direct-plan
BNP Paribas Corporate Bond Fund - Direct Plan - Growth,22.86,0.02,6.52,5.67,6.59,2013-01-01 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057759.00206600/paribas-corporate-bond-fund-direct-plan
BNP Paribas Corporate Bond Fund - Direct Plan - IDCW-Annual,11.05,0.02,6.34,3.25,1.11,2013-01-01 00:00:00,1.0,5000.0,5.09%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057759.00217900/paribas-corporate-bond-fund-direct-plan
BNP Paribas Corporate Bond Fund - Direct Plan - IDCW-Monthly,10.48,0.02,1.79,1.69,0.33,2013-01-01 00:00:00,1.0,5000.0,0.50%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057759.00218200/paribas-corporate-bond-fund-direct-plan
BNP Paribas Corporate Bond Fund - Direct Plan - IDCW-Quarterly,10.71,0.02,1.68,1.73,1.39,2013-01-01 00:00:00,1.0,5000.0,1.60%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057759.00218100/paribas-corporate-bond-fund-direct-plan
BNP Paribas Dynamic Equity Fund - Direct Plan - Growth,13.48,-0.05,24.76,0.0,0.0,2019-02-14 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140516330.00206600/paribas-dynamic-equity-fund-direct-plan
BNP Paribas Dynamic Equity Fund - Direct Plan - IDCW-Annual,13.48,-0.05,24.75,0.0,0.0,2019-02-14 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140516330.00217900/paribas-dynamic-equity-fund-direct-plan
BNP Paribas Dynamic Equity Fund - Direct Plan - IDCW-Monthly,12.92,-0.05,25.03,0.0,0.0,2019-02-14 00:00:00,1.0,5000.0,0.53%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140516330.00218200/paribas-dynamic-equity-fund-direct-plan
BNP Paribas Dynamic Equity Fund - Direct Plan - IDCW-Quarterly,12.8,-0.05,24.78,0.0,0.0,2019-02-14 00:00:00,1.0,5000.0,1.59%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140516330.00218100/paribas-dynamic-equity-fund-direct-plan
BNP Paribas Flexi Debt Fund - Direct Plan - Growth,38.71,-0.03,4.01,8.22,7.98,2013-01-01 00:00:00,,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057762.00206600/paribas-flexi-debt-fund-direct-plan
BNP Paribas Flexi Debt Fund - Direct Plan - IDCW-Half Yearly,10.0,0.0,0.0,0.0,0.0,2013-01-01 00:00:00,,5000.0,0.17%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057762.00218000/paribas-flexi-debt-fund-direct-plan
BNP Paribas Flexi Debt Fund - Direct Plan - IDCW-Monthly,10.2,-0.03,-2.01,0.68,0.28,2013-01-01 00:00:00,,5000.0,0.70%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057762.00218200/paribas-flexi-debt-fund-direct-plan
BNP Paribas Flexi Debt Fund - Direct Plan - IDCW-Quarterly,10.53,-0.03,-0.21,1.51,0.36,2013-01-01 00:00:00,,5000.0,2.10%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057762.00218100/paribas-flexi-debt-fund-direct-plan
BNP Paribas Focused 25 Equity Fund - Direct Plan - Growth,13.72,-0.3,48.69,12.07,0.0,2017-09-15 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140514721.00206600/paribas-focused-equity-fund-direct-plan
BNP Paribas Focused 25 Equity Fund - Direct Plan - IDCW,13.69,-0.3,48.56,12.01,0.0,2017-09-15 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140514721.00206700/paribas-focused-equity-fund-direct-plan
BNP Paribas Funds Aqua Fund of Fund - Direct Plan - Growth,9.99,-0.67,0.0,0.0,0.0,2021-04-16 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140517307.00206600/paribas-funds-aqua-fund-fund-direct-plan
BNP Paribas Funds Aqua Fund of Fund - Direct Plan - IDCW,9.99,-0.67,0.0,0.0,0.0,2021-04-16 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140517307.00206700/paribas-funds-aqua-fund-fund-direct-plan
BNP Paribas India Consumption Fund - Direct Plan - Growth,18.06,0.02,46.63,0.0,0.0,2018-08-17 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140515728.00206600/paribas-india-consumption-fund-direct-plan
BNP Paribas India Consumption Fund - Direct Plan - IDCW,17.48,0.02,38.3,0.0,0.0,2018-08-17 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140515728.00206700/paribas-india-consumption-fund-direct-plan
BNP Paribas Large Cap Fund - Direct Plan - Growth,137.77,-0.27,49.23,16.29,14.71,2013-01-01 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057761.00206600/paribas-large-fund-direct-plan
BNP Paribas Large Cap Fund - Direct Plan - IDCW,21.26,-0.28,40.98,4.3,5.72,2013-01-01 00:00:00,1.0,5000.0,12.00%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057761.00206700/paribas-large-fund-direct-plan
BNP Paribas Liquid Fund - Direct Plan - Growth,3186.04,0.02,3.36,5.63,6.16,2013-01-01 00:00:00,0.007,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057603.00206600/paribas-liquid-fund-direct-plan
BNP Paribas Liquid Fund - Direct Plan - IDCW-Monthly,1000.92,0.02,-1.19,-0.01,-0.02,2013-01-01 00:00:00,0.007,5000.0,0.26%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057603.00218200/paribas-liquid-fund-direct-plan
BNP Paribas Long Term Equity Fund - Direct Plan - Growth,58.08,-0.23,50.99,15.46,14.2,2013-01-01 00:00:00,,500.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057768.00206600/paribas-long-term-equity-fund-direct-plan
BNP Paribas Long Term Equity Fund - Direct Plan - IDCW,21.82,-0.23,43.24,8.59,6.41,2013-01-01 00:00:00,,500.0,11.00%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057768.00206700/paribas-long-term-equity-fund-direct-plan
BNP Paribas Low Duration Fund - Direct Plan - Growth,34.0,0.02,5.98,7.71,7.58,2013-01-01 00:00:00,,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057765.00206600/paribas-duration-fund-direct-plan
BNP Paribas Low Duration Fund - Direct Plan - IDCW-Monthly,10.0,0.0,0.0,0.0,0.0,2013-01-01 00:00:00,,5000.0,10.85%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057765.00218200/paribas-duration-fund-direct-plan
BNP Paribas Medium Term Fund - Direct Plan - Growth,15.85,0.0,4.93,3.65,4.96,2014-02-14 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140510813.00206600/paribas-medium-term-fund-direct-plan
BNP Paribas Medium Term Fund - Direct Plan - IDCW-Annual,10.55,0.0,4.83,1.8,1.07,2014-02-14 00:00:00,1.0,5000.0,1.58%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140510813.00217900/paribas-medium-term-fund-direct-plan
BNP Paribas Medium Term Fund - Direct Plan - IDCW-Half Yearly,10.0,0.0,0.0,0.0,0.0,2014-02-14 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140510813.00218000/paribas-medium-term-fund-direct-plan
BNP Paribas Medium Term Fund - Direct Plan - IDCW-Monthly,10.59,0.0,1.78,1.92,1.15,2014-02-14 00:00:00,1.0,5000.0,0.40%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140510813.00218200/paribas-medium-term-fund-direct-plan
BNP Paribas Medium Term Fund - Direct Plan - IDCW-Quarterly,10.0,0.0,-1.09,0.0,-0.64,2014-02-14 00:00:00,1.0,5000.0,0.74%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140510813.00218100/paribas-medium-term-fund-direct-plan
BNP Paribas Mid Cap Fund - Direct Plan - Growth,57.02,0.45,78.25,18.06,16.76,2013-01-01 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057764.00206600/paribas-fund-direct-plan
BNP Paribas Mid Cap Fund - Direct Plan - IDCW,47.85,0.45,68.8,12.29,12.85,2013-01-01 00:00:00,1.0,5000.0,24.00%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057764.00206700/paribas-fund-direct-plan
BNP Paribas Multi Cap Fund - Direct Plan - Growth,74.61,0.11,59.91,14.97,15.51,2013-01-01 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057760.00206600/paribas-multi-fund-direct-plan
BNP Paribas Multi Cap Fund - Direct Plan - IDCW,21.03,0.11,54.25,6.33,6.15,2013-01-01 00:00:00,1.0,5000.0,0.70%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057760.00206700/paribas-multi-fund-direct-plan
BNP Paribas Overnight Fund - Direct Plan - Growth,1089.52,0.02,3.1,0.0,0.0,2019-04-10 00:00:00,,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140516628.00206600/paribas-overnight-fund-direct-plan
BNP Paribas Short Term Fund - Direct Plan - Growth,26.13,0.01,7.65,8.54,8.02,2013-01-01 00:00:00,,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057767.00206600/paribas-short-term-fund-direct-plan
BNP Paribas Short Term Fund - Direct Plan - IDCW-Monthly,10.54,0.01,1.91,1.76,0.99,2013-01-01 00:00:00,,5000.0,0.60%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057767.00218200/paribas-short-term-fund-direct-plan
BNP Paribas Short Term Fund - Direct Plan - IDCW-Quarterly,10.74,0.01,2.09,1.97,0.96,2013-01-01 00:00:00,,5000.0,1.90%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/14057767.00218100/paribas-short-term-fund-direct-plan
BNP Paribas Substantial Equity Hybrid Fund - Direct Plan - Growth,18.31,-0.06,45.15,18.31,0.0,2017-03-17 00:00:00,1.0,5000.0,,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140514394.00206600/paribas-substantial-equity-hybrid-fund-direct-plan
BNP Paribas Substantial Equity Hybrid Fund - Direct Plan - IDCW,15.89,-0.06,37.51,15.08,0.0,2017-03-17 00:00:00,1.0,5000.0,0.70%,http://www.bnpparibasmf.in/Downloads/index.aspx,https://coin.zerodha.com/funds/140514394.00206700/paribas-substantial-equity-hybrid-fund-direct-plan
Canara Robeco Bluechip Equity Fund - Direct Plan - Growth,40.95,-0.15,54.24,19.3,18.13,2013-01-01 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057795.00206600/canara-robeco-bluechip-equity-fund-direct-plan
Canara Robeco Bluechip Equity Fund - Direct Plan - IDCW,34.61,-0.17,54.1,13.09,14.33,2013-01-01 00:00:00,1.0,5000.0,17.18%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057795.00206700/canara-robeco-bluechip-equity-fund-direct-plan
Canara Robeco Conservative Hybrid Fund - Direct Plan - Growth,78.35,-0.08,18.71,12.12,10.44,2013-01-01 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057796.00206600/canara-robeco-conservative-hybrid-fund-direct-plan
Canara Robeco Conservative Hybrid Fund - Direct Plan - IDCW-Monthly,15.97,-0.08,10.39,3.02,1.64,2013-01-01 00:00:00,1.0,5000.0,1.00%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057796.00218200/canara-robeco-conservative-hybrid-fund-direct-plan
Canara Robeco Conservative Hybrid Fund - Direct Plan - IDCW-Quarterly,15.67,-0.08,9.8,1.19,0.63,2013-01-01 00:00:00,1.0,5000.0,2.50%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057796.00218100/canara-robeco-conservative-hybrid-fund-direct-plan
Canara Robeco Consumer Trends Fund - Direct Plan - Growth,64.0,-0.08,57.29,17.84,19.38,2013-01-01 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057786.00206600/canara-robeco-consumer-trends-fund-direct-plan
Canara Robeco Consumer Trends Fund - Direct Plan - IDCW,52.36,-0.08,48.24,12.96,16.38,2013-01-01 00:00:00,1.0,5000.0,22.50%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057786.00206700/canara-robeco-consumer-trends-fund-direct-plan
Canara Robeco Infrastructure - Direct Plan - Growth,66.94,0.06,67.98,11.19,12.5,2013-01-01 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057794.00206600/canara-robeco-infrastructure-direct-plan
Canara Robeco Infrastructure - Direct Plan - IDCW,40.03,0.05,58.03,4.57,8.4,2013-01-01 00:00:00,1.0,5000.0,16.50%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057794.00206700/canara-robeco-infrastructure-direct-plan
Canara Robeco Corporate Bond Fund - Direct Plan - Growth,18.31,0.01,6.61,8.87,8.09,2014-01-17 00:00:00,0.5,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/140510533.00206600/canara-robeco-corporate-bond-fund-direct-plan
Canara Robeco Corporate Bond Fund - Direct Plan - IDCW,12.13,0.01,1.13,2.65,1.84,2014-01-17 00:00:00,0.5,5000.0,3.00%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/140510533.00206700/canara-robeco-corporate-bond-fund-direct-plan
Canara Robeco Dynamic Bond Fund - Direct Plan - Growth,25.32,-0.02,3.95,8.36,8.07,2013-01-01 00:00:00,0.5,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057782.00206600/canara-robeco-dynamic-bond-fund-direct-plan
Canara Robeco Dynamic Bond Fund - Direct Plan - IDCW,14.92,-0.02,-2.13,2.04,1.85,2013-01-01 00:00:00,0.5,5000.0,4.50%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057782.00206700/canara-robeco-dynamic-bond-fund-direct-plan
Canara Robeco Emerging Equities - Direct Plan - Growth,153.2,0.16,65.3,16.37,19.54,2013-01-01 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057783.00206600/canara-robeco-emerging-equities-direct-plan
Canara Robeco Emerging Equities - Direct Plan - IDCW,84.85,0.15,60.61,10.7,14.57,2013-01-01 00:00:00,1.0,5000.0,20.00%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057783.00206700/canara-robeco-emerging-equities-direct-plan
Canara Robeco Equity Hybrid Fund - Direct Plan - Growth,240.38,-0.04,42.49,16.13,15.92,2013-01-01 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057781.00206600/canara-robeco-equity-hybrid-fund-direct-plan
Canara Robeco Equity Hybrid Fund - Direct Plan - IDCW,102.51,-0.05,31.51,6.66,6.36,2013-01-01 00:00:00,1.0,5000.0,6.00%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057781.00206700/canara-robeco-equity-hybrid-fund-direct-plan
Canara Robeco Equity Tax Saver - Direct Plan - Growth,108.47,-0.14,67.75,21.04,18.94,2013-01-01 00:00:00,,500.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057785.00206600/canara-robeco-equity-saver-direct-plan
Canara Robeco Equity Tax Saver - Direct Plan - IDCW,52.18,-0.15,53.88,11.37,11.39,2013-01-01 00:00:00,,500.0,22.50%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057785.00206700/canara-robeco-equity-saver-direct-plan
Canara Robeco Flexi Cap Fund - Direct Plan - Growth,211.34,-0.09,57.32,18.27,18.29,2013-01-01 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057784.00206600/canara-robeco-flexi-fund-direct-plan
Canara Robeco Flexi Cap Fund - Direct Plan - IDCW,64.32,-0.09,44.77,8.66,10.26,2013-01-01 00:00:00,1.0,5000.0,42.00%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057784.00206700/canara-robeco-flexi-fund-direct-plan
Canara Robeco Focused Equity Fund - Direct Plan - Growth,10.44,0.0,0.0,0.0,0.0,2021-04-23 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/140517324.00206600/canara-robeco-focused-equity-fund-direct-plan
Canara Robeco Focused Equity Fund - Direct Plan - IDCW,10.44,0.0,0.0,0.0,0.0,2021-04-23 00:00:00,1.0,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/140517324.00206700/canara-robeco-focused-equity-fund-direct-plan
Canara Robeco Gilt 1988 Fund - Direct Plan - Growth,63.21,-0.04,3.9,9.16,8.85,2013-01-01 00:00:00,,5000.0,,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057790.00206600/canara-robeco-gilt-1988-fund-direct-plan
Canara Robeco Gilt 1988 Fund - Direct Plan - IDCW,16.06,-0.04,-2.15,2.94,2.65,2013-01-01 00:00:00,,5000.0,4.70%,http://www.canararobeco.com/forms-downloads/pages/SID-Scheme-Information-Document.aspx,https://coin.zerodha.com/funds/14057790.00206700/canara-robeco-gilt-1988-fund-direct-plan
